"trending_date","title","channel_title","category_id","publish_time","views","likes","dislikes","comment_count","comments_disabled","ratings_disabled","video_error_or_removed","publish_hour","publish_when","publish_wday","timetotrend"
2022-07-01,"Minecraft - HermitCraft S9#1: Thrown Into Exile","EthosLab","Gaming",2022-06-27 18:31:58,687990,61281,0,4816,FALSE,FALSE,FALSE,18,"3pm to 12am","Monday","4"
2022-07-01,"I Built a Secret Room in Public","Jake Carlini","Entertainment",2022-06-27 18:52:23,579268,11974,0,1019,FALSE,FALSE,FALSE,18,"3pm to 12am","Monday","4"
2022-07-01,"Bill Nye Goes Sneaker Shopping With Complex","Complex","Entertainment",2022-06-27 14:00:10,1030127,45371,0,2621,FALSE,FALSE,FALSE,14,"8am to 3pm","Monday","4"
2022-07-01,"Fire Emblem Heroes - Legendary Hero (Xander: Gallant King)","Nintendo Mobile","Gaming",2022-06-29 03:00:00,94401,4087,0,0,TRUE,FALSE,FALSE,3,"12am to 8am","Wednesday","2"
2022-07-01,"NEVER Visit The Krusty Krab BASEMENT! | The True Ingredients","The Frustrated Gamer","Gaming",2022-06-27 10:30:19,1322249,24046,0,2047,FALSE,FALSE,FALSE,10,"8am to 3pm","Monday","4"
2022-07-01,"What Bad Umpiring Looks Like | Baseball Bits","Foolish Baseball","Sports",2022-06-27 20:00:09,361028,15230,0,1267,FALSE,FALSE,FALSE,20,"3pm to 12am","Monday","3"
2022-07-01,"June 2022 Dev Update - Clash of Clans","Clash of Clans","Gaming",2022-06-27 09:42:17,3646433,109386,0,9134,FALSE,FALSE,FALSE,9,"8am to 3pm","Monday","4"
2022-07-01,"Clash Royale: Raise Your Battle Banners! (Update Launch Trailer)","Clash Royale","Gaming",2022-06-27 08:43:01,3528266,84744,0,1745,FALSE,FALSE,FALSE,8,"8am to 3pm","Monday","4"
2022-07-01,"An Iconic Performance Saluting Sean Diddy Combs, The King of Bad Boy! | BET Awards '22","BETNetworks","Entertainment",2022-06-27 04:16:55,1915032,43035,0,5900,FALSE,FALSE,FALSE,4,"12am to 8am","Monday","4"
2022-07-01,"We Tried Star Wars Stunts In Real Life - Challenge","Zealous","Entertainment",2022-06-27 14:37:01,524220,12502,0,476,FALSE,FALSE,FALSE,14,"8am to 3pm","Monday","4"
2022-07-01,"THE ORIGINAL CHARACTER INFESTATION","Neytirix","Film and Animation",2022-06-27 19:08:29,452442,74350,0,3562,FALSE,FALSE,FALSE,19,"3pm to 12am","Monday","4"
2022-07-01,"Monster Hunter Rise: Sunbreak - A Kingdom's Savior (Nintendo Switch & Steam)","Monster Hunter","Gaming",2022-06-28 13:03:07,297602,12396,0,2040,FALSE,FALSE,FALSE,13,"8am to 3pm","Tuesday","3"
2022-07-01,"This clock was famous, but the internet ruined it.","Tom Scott","Education",2022-06-27 15:00:01,2037137,103536,0,2587,FALSE,FALSE,FALSE,15,"8am to 3pm","Monday","4"
